Low_d_(mm),High_d_(mm)
0.00050,0.00149
0.00149,0.00249
0.00249,0.00349
0.00349,0.00449
0.00449,0.00549
0.00549,0.00649
0.00649,0.00749
0.00749,0.00849
0.00849,0.00949
0.00949,0.01049
0.01049,0.01149
0.01149,0.01249
0.01249,0.01349
0.01349,0.01449
0.01449,0.01549
0.01549,0.01649
0.01649,0.01749
0.01749,0.01849
0.01849,0.01949
0.01949,0.02049
0.02049,0.02149
0.02149,0.02249
0.02249,0.02349
0.02349,0.02449
0.02449,0.02549
0.02549,0.02649
0.02649,0.02749
0.02749,0.02849
0.02849,0.02949
0.02949,0.03049
0.03049,0.03149
0.03149,0.03249
0.03249,0.03349
0.03349,0.03449
0.03449,0.03549
0.03549,0.03649
0.03649,0.03749
0.03749,0.03849
0.03849,0.03949
0.03949,0.04049
0.04049,0.04149
0.04149,0.04249
0.04249,0.04349
0.04349,0.04449
0.04449,0.04549
0.04549,0.04649
0.04649,0.04749
0.04749,0.04849
0.04849,0.04949
0.04949,0.05049
0.05049,0.05149
0.05149,0.05249
0.05249,0.05349
0.05349,0.05449
0.05449,0.05549
0.05549,0.05649
0.05649,0.05749
0.05749,0.05849
0.05849,0.05949
0.05949,0.06049
0.06049,0.06149
0.06149,0.06249
0.06249,0.06349
0.06349,0.06449
0.06449,0.06549
0.06549,0.06649
0.06649,0.06749
0.06749,0.06849
0.06849,0.06949
0.06949,0.07049
0.07049,0.07149
0.07149,0.07249
0.07249,0.07349
0.07349,0.07449
0.07449,0.07549
0.07549,0.07649
0.07649,0.07749
0.07749,0.07849
0.07849,0.07949
0.07949,0.08049
0.08049,0.08149
0.08149,0.08249
0.08249,0.08349
0.08349,0.08449
0.08449,0.08549
0.08549,0.08649
0.08649,0.08749
0.08749,0.08849
0.08849,0.08949
0.08949,0.09049
0.09049,0.09149
0.09149,0.09249
0.09249,0.09349
0.09349,0.09449
0.09449,0.09549
0.09549,0.09649
0.09649,0.09749
0.09749,0.09849
0.09849,0.09949
0.09949,0.10049
0.10049,0.10149
0.10149,0.10249
0.10249,0.10349
0.10349,0.10449
0.10449,0.10549
0.10549,0.10649
0.10649,0.10749
0.10749,0.10849
0.10849,0.10949
0.10949,0.11049
0.11049,0.11149
0.11149,0.11249
0.11249,0.11349
0.11349,0.11449
0.11449,0.11549
0.11549,0.11649
0.11649,0.11749
0.11749,0.11849
0.11849,0.11949
0.11949,0.12049
0.12049,0.12149
0.12149,0.12249
