Site,Method,Value
1,COL,9.1
2,COL,11.1
3,COL,9.3
4,COL,2.6
5,COL,1.4
6,COL,1.9
7,COL,1.1
8,COL,1.6
9,COL,0.4
10,COL,0.6
1,150_Dyn_5,1.6
2,150_Dyn_5,1.5
3,150_Dyn_5,1.2
4,150_Dyn_5,0.3
5,150_Dyn_5,0.4
6,150_Dyn_5,0.3
7,150_Dyn_5,0.3
8,150_Dyn_5,0.3
9,150_Dyn_5,0.2
10,150_Dyn_5,0.1
1,150_Dyn_7,2.3
2,150_Dyn_7,2.1
3,150_Dyn_7,1.6
4,150_Dyn_7,0.4
5,150_Dyn_7,0.6
6,150_Dyn_7,0.4
7,150_Dyn_7,0.4
8,150_Dyn_7,0.4
9,150_Dyn_7,0.3
10,150_Dyn_7,0.2
1,200_Dyn_5,3.4
2,200_Dyn_5,3.0
3,200_Dyn_5,2.3
4,200_Dyn_5,0.7
5,200_Dyn_5,0.8
6,200_Dyn_5,0.6
7,200_Dyn_5,0.5
8,200_Dyn_5,0.5
9,200_Dyn_5,0.4
10,200_Dyn_5,0.3
1,200_Dyn_7,4.7
2,200_Dyn_7,4.2
3,200_Dyn_7,3.2
4,200_Dyn_7,0.9
5,200_Dyn_7,1.1
6,200_Dyn_7,0.8
7,200_Dyn_7,0.7
8,200_Dyn_7,0.7
9,200_Dyn_7,0.5
10,200_Dyn_7,0.4
1,300_Dyn_5,6.6
2,300_Dyn_5,5.3
3,300_Dyn_5,4.0
4,300_Dyn_5,1.4
5,300_Dyn_5,1.4
6,300_Dyn_5,1.0
7,300_Dyn_5,0.9
8,300_Dyn_5,0.8
9,300_Dyn_5,0.5
10,300_Dyn_5,0.5
1,300_Dyn_7,9.2
2,300_Dyn_7,7.5
3,300_Dyn_7,5.6
4,300_Dyn_7,2.0
5,300_Dyn_7,2.0
6,300_Dyn_7,1.4
7,300_Dyn_7,1.3
8,300_Dyn_7,1.2
9,300_Dyn_7,0.8
10,300_Dyn_7,0.6
1,150_0.68_5,15.8
2,150_0.68_5,11.8
3,150_0.68_5,8.7
4,150_0.68_5,3.7
5,150_0.68_5,3.3
6,150_0.68_5,2.5
7,150_0.68_5,2.3
8,150_0.68_5,1.8
9,150_0.68_5,0.9
10,150_0.68_5,1.0
1,150_0.68_7,22.1
2,150_0.68_7,16.5
3,150_0.68_7,12.1
4,150_0.68_7,5.2
5,150_0.68_7,4.7
6,150_0.68_7,3.5
7,150_0.68_7,3.2
8,150_0.68_7,2.5
9,150_0.68_7,1.3
10,150_0.68_7,1.4
1,200_0.68_5,14.3
2,200_0.68_5,10.5
3,200_0.68_5,7.6
4,200_0.68_5,3.8
5,200_0.68_5,2.7
6,200_0.68_5,2.2
7,200_0.68_5,1.8
8,200_0.68_5,1.4
9,200_0.68_5,0.5
10,200_0.68_5,0.7
1,200_0.68_7,20.0
2,200_0.68_7,14.7
3,200_0.68_7,10.6
4,200_0.68_7,5.3
5,200_0.68_7,3.8
6,200_0.68_7,3.1
7,200_0.68_7,2.5
8,200_0.68_7,1.9
9,200_0.68_7,0.8
10,200_0.68_7,1.0
1,300_0.68_5,8.5
2,300_0.68_5,5.9
3,300_0.68_5,3.9
4,300_0.68_5,1.9
5,300_0.68_5,1.1
6,300_0.68_5,1.0
7,300_0.68_5,0.7
8,300_0.68_5,0.5
9,300_0.68_5,0.2
10,300_0.68_5,0.2
1,300_0.68_7,11.9
2,300_0.68_7,8.2
3,300_0.68_7,5.4
4,300_0.68_7,2.6
5,300_0.68_7,1.5
6,300_0.68_7,1.4
7,300_0.68_7,0.9
8,300_0.68_7,0.7
9,300_0.68_7,0.2
10,300_0.68_7,0.3
