Site,Method,Value
1,COL,9.1168
2,COL,11.0959
3,COL,9.2649
4,COL,2.6172
5,COL,1.3737
6,COL,1.9287
7,COL,1.0794
8,COL,1.5975
9,COL,0.3542
10,COL,0.5818
1,150_68_5,18.3492
2,150_68_5,13.224
3,150_68_5,11.4901
4,150_68_5,4.212
5,150_68_5,7.016
6,150_68_5,2.5782
7,150_68_5,8.9574
8,150_68_5,1.8755
9,150_68_5,1.7614
10,150_68_5,1.5551
1,150_68_7,25.6889
2,150_68_7,18.5137
3,150_68_7,16.0861
4,150_68_7,5.8968
5,150_68_7,9.8225
6,150_68_7,3.6095
7,150_68_7,12.5404
8,150_68_7,2.6257
9,150_68_7,2.466
10,150_68_7,2.1772
1,150_Dyn_5,1.9517
2,150_Dyn_5,1.6315
3,150_Dyn_5,1.3428
4,150_Dyn_5,0.4179
5,150_Dyn_5,0.6836
6,150_Dyn_5,0.4044
7,150_Dyn_5,1.2949
8,150_Dyn_5,0.4184
9,150_Dyn_5,0.5649
10,150_Dyn_5,0.9749
1,150_Dyn_7,2.7323
2,150_Dyn_7,2.2841
3,150_Dyn_7,1.8799
4,150_Dyn_7,0.585
5,150_Dyn_7,0.9571
6,150_Dyn_7,0.5662
7,150_Dyn_7,1.8129
8,150_Dyn_7,0.5858
9,150_Dyn_7,0.7908
10,150_Dyn_7,1.3649
1,200_68_5,25.9135
2,200_68_5,14.9207
3,200_68_5,12.7782
4,200_68_5,3.5618
5,200_68_5,6.9327
6,200_68_5,1.5571
7,200_68_5,5.8667
8,200_68_5,0.9413
9,200_68_5,0.6582
10,200_68_5,0.6775
1,200_68_7,36.2789
2,200_68_7,20.889
3,200_68_7,17.8895
4,200_68_7,4.9865
5,200_68_7,9.7058
6,200_68_7,2.18
7,200_68_7,8.2134
8,200_68_7,1.3179
9,200_68_7,0.9215
10,200_68_7,0.9484
1,200_Dyn_5,4.1757
2,200_Dyn_5,3.1461
3,200_Dyn_5,2.6424
4,200_Dyn_5,0.8595
5,200_Dyn_5,1.3995
6,200_Dyn_5,0.7503
7,200_Dyn_5,2.4584
8,200_Dyn_5,0.7297
9,200_Dyn_5,0.9494
10,200_Dyn_5,1.4406
1,200_Dyn_7,5.846
2,200_Dyn_7,4.4045
3,200_Dyn_7,3.6994
4,200_Dyn_7,1.2033
5,200_Dyn_7,1.9594
6,200_Dyn_7,1.0504
7,200_Dyn_7,3.4417
8,200_Dyn_7,1.0215
9,200_Dyn_7,1.3292
10,200_Dyn_7,2.0168
1,300_68_5,23.7009
2,300_68_5,9.1073
3,300_68_5,6.8097
4,300_68_5,1.5084
5,300_68_5,3.1748
6,300_68_5,0.3733
7,300_68_5,1.802
8,300_68_5,0.186
9,300_68_5,0.0754
10,300_68_5,0.1516
1,300_68_7,33.1813
2,300_68_7,12.7502
3,300_68_7,9.5336
4,300_68_7,2.1117
5,300_68_7,4.4447
6,300_68_7,0.5226
7,300_68_7,2.5228
8,300_68_7,0.2603
9,300_68_7,0.1055
10,300_68_7,0.2122
1,300_Dyn_5,8.8867
2,300_Dyn_5,5.9546
3,300_Dyn_5,4.9293
4,300_Dyn_5,1.6399
5,300_Dyn_5,2.717
6,300_Dyn_5,1.2097
7,300_Dyn_5,4.0023
8,300_Dyn_5,1.0851
9,300_Dyn_5,1.2878
10,300_Dyn_5,1.7674
1,300_Dyn_7,12.4413
2,300_Dyn_7,8.3365
3,300_Dyn_7,6.9011
4,300_Dyn_7,2.2958
5,300_Dyn_7,3.8038
6,300_Dyn_7,1.6936
7,300_Dyn_7,5.6033
8,300_Dyn_7,1.5192
9,300_Dyn_7,1.8029
10,300_Dyn_7,2.4744
